epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1483,1.58009,2.3296,1.49168,0.48713,0.62378,0.54366,0.21568,2.0639,1.75916,1.63601,0.000472725,0.000472725,0.000472725
2,87.4211,1.57139,1.63691,1.47847,0.59274,0.57809,0.55752,0.15938,2.44221,2.15479,2.01624,0.000937313,0.000937313,0.000937313
3,129.233,1.5879,1.54996,1.50593,0.57611,0.60729,0.59384,0.22475,2.03465,1.5285,1.68624,0.00139011,0.00139011,0.00139011
4,170.025,1.55891,1.43527,1.4679,0.84734,0.7401,0.86277,0.30795,2.00144,1.17102,1.58042,0.00137595,0.00137595,0.00137595
5,213.848,1.53158,1.33664,1.45205,0.90586,0.87728,0.93282,0.35892,1.94904,1.23225,1.58613,0.00135826,0.00135826,0.00135826
6,255.723,1.47433,1.28829,1.40566,0.86139,0.86366,0.89681,0.32433,2.15345,1.17265,1.61803,0.00134058,0.00134058,0.00134058
7,296.903,1.47577,1.26069,1.4169,0.86779,0.80129,0.85921,0.3291,2.04812,1.06049,1.5731,0.0013229,0.0013229,0.0013229
8,337.427,1.45635,1.21277,1.4027,0.93427,0.83523,0.91551,0.39805,1.86265,0.9791,1.46625,0.00130521,0.00130521,0.00130521
9,377.918,1.42684,1.178,1.37599,0.8939,0.89016,0.95275,0.36073,1.99914,0.99115,1.53012,0.00128753,0.00128753,0.00128753
10,418.181,1.42059,1.12744,1.37648,0.91345,0.85888,0.95094,0.47103,1.68044,0.83031,1.3752,0.00126985,0.00126985,0.00126985
11,458.631,1.41037,1.07972,1.36372,0.95985,0.79812,0.90594,0.43237,1.67985,0.83201,1.34773,0.00125216,0.00125216,0.00125216
12,499.272,1.3914,1.04451,1.35623,0.94927,0.9161,0.96179,0.42794,1.90528,0.80522,1.44505,0.00123448,0.00123448,0.00123448
