Time,Vehicle#,Type,Light,Violation
12:32:46,1,car,unknown,NO
12:32:46,2,car,unknown,NO
12:32:46,3,car,unknown,NO
12:32:46,4,car,unknown,NO
12:32:46,5,car,unknown,NO
12:32:47,6,car,unknown,NO
12:32:47,7,car,unknown,NO
12:32:47,8,car,unknown,NO
12:32:47,9,car,unknown,NO
12:32:48,10,car,unknown,NO
12:32:48,11,car,unknown,NO
12:32:48,12,car,unknown,NO
12:32:48,13,car,unknown,NO
12:32:48,14,car,unknown,NO
12:32:48,15,car,unknown,NO
12:32:48,16,car,unknown,NO
12:32:49,17,car,unknown,NO
12:32:49,18,car,unknown,NO
12:32:49,19,car,unknown,NO
12:32:49,20,car,unknown,NO
12:32:49,21,car,unknown,NO
12:32:50,22,car,unknown,NO
12:32:50,23,car,unknown,NO
12:32:50,24,car,unknown,NO
12:32:50,25,car,unknown,NO
12:32:50,26,car,unknown,NO
12:32:50,27,car,unknown,NO
12:32:50,28,car,unknown,NO
12:32:51,29,car,unknown,NO
12:32:51,30,car,unknown,NO
12:32:51,31,car,unknown,NO
12:32:51,32,car,unknown,NO
12:32:51,33,car,unknown,NO
12:32:51,34,car,unknown,NO
12:32:51,35,car,unknown,NO
12:32:52,36,car,unknown,NO
12:32:52,37,car,unknown,NO
12:32:52,38,car,unknown,NO
12:32:52,39,truck,unknown,NO
12:32:52,40,truck,unknown,NO
12:32:52,41,truck,unknown,NO
12:32:53,42,truck,unknown,NO
12:32:53,43,car,unknown,NO
12:32:53,44,truck,unknown,NO
12:32:53,45,car,unknown,NO
12:32:53,46,truck,unknown,NO
12:32:53,47,car,unknown,NO
12:32:53,48,car,unknown,NO
12:32:54,49,car,unknown,NO
12:32:54,50,car,unknown,NO
12:32:54,51,car,unknown,NO
12:32:54,52,car,unknown,NO
12:32:54,53,car,unknown,NO
12:32:54,54,car,unknown,NO
12:32:54,55,car,unknown,NO
12:32:55,56,truck,unknown,NO
12:32:55,57,car,unknown,NO
12:32:55,58,car,unknown,NO
12:32:55,59,truck,unknown,NO
12:32:55,60,truck,unknown,NO
12:32:55,61,truck,unknown,NO
12:32:55,62,truck,unknown,NO
12:32:56,63,truck,unknown,NO
12:32:56,64,truck,unknown,NO
12:32:56,65,truck,unknown,NO
12:32:56,66,truck,unknown,NO
